time,X_value,Y_value,Z_value
24.1536,-0.02786,0.0023,0.01328
24.1872,-0.01401,-0.03285,0.00369
24.2288,0.07014,0.03532,0.01114
24.271,-0.02893,0.09499,-0.00163
24.3174,-0.06088,0.1866,-0.06981
24.3493,-0.03105,0.44759,-0.13693
24.3901,-0.01614,0.44865,-0.13693
24.4343,-0.03532,0.16209,-0.10817
24.4709,-0.01721,0.1344,-0.09645
24.5116,0.19691,0.40604,-0.12415
24.553,0.36308,0.48593,-0.08792
24.5927,0.23845,0.70432,-0.12094
24.6338,0.15111,1.41165,-0.18806
24.6735,0.17455,1.35626,-0.14333
24.7154,0.29918,0.92909,-0.2019
24.7547,0.17667,1.13042,-0.22534
24.7949,-0.05876,1.03668,-0.1071
24.8376,0.04564,0.57222,-0.07301
24.8787,0.07866,0.36023,-0.05916
24.9162,-0.08751,0.48488,-0.07727
24.9569,-0.17912,0.51897,-0.0549
25.0007,-0.08646,0.34106,-0.05064
25.0383,-0.08646,0.37941,-0.06769
25.0782,-0.0513,0.36983,-0.05916
25.1211,-0.02361,0.34425,-0.0549
25.1582,-0.05449,0.35065,-0.03146
25.1995,-0.06514,0.38899,0.00369
25.2401,-0.0481,0.31549,-0.02507
25.2824,-0.08858,0.24199,-0.03786
25.3207,-0.09178,0.23134,-0.0027
25.3608,-0.06514,0.21216,-0.01016
25.403,-0.07899,0.18767,-0.0123
25.4425,-0.05237,0.13866,-0.08473
25.4827,-0.06302,0.06197,-0.19765
25.5236,-0.15143,0.04918,-0.20084
25.565,-0.08218,0.06409,-0.19551
25.6043,0.13725,0.05876,-0.14012
25.6445,0.17027,0.10777,-0.16995
25.6864,0.12979,0.11949,-0.19658
25.7254,0.21182,0.06303,-0.14438
25.7661,0.2001,0.08966,-0.1561
25.8062,0.23952,0.10138,-0.09538
25.8501,0.27681,0.07368,-0.06876
25.8875,0.1479,-0.01474,-0.13586
25.9281,0.02113,0.10031,-0.09325
25.97,0.18625,0.11736,-0.01656
26.0091,0.31516,0.06941,-0.01762
26.0496,0.19478,0.18874,-0.08899
26.0897,0.231,0.1866,-0.14333
26.1322,0.2491,0.25903,-0.11562
26.1715,0.17773,0.30804,-0.11562
26.2116,0.21608,0.19832,-0.11775
26.252,0.21075,0.11736,-0.11456
26.2922,0.13512,0.1131,-0.1348
26.3327,0.15004,0.11203,-0.18167
26.3728,0.16815,0.0545,-0.32867
26.416,0.16176,0.07262,-0.34039
26.4547,0.19797,0.04599,-0.38727
26.495,0.19904,0.08008,-0.47781
26.5373,0.28958,0.12482,-0.43947
26.5765,0.35457,0.05557,-0.46289
26.6169,0.35989,0.02788,-0.49805
26.6564,0.40251,-0.00621,-0.53853
26.6979,0.42168,-0.03391,-0.59819
26.7371,0.42807,-0.04137,-0.61417
26.7784,0.46323,-0.02539,-0.63228
26.8193,0.46536,-0.00941,-0.63972
26.8627,0.49199,0.00018,-0.64719
26.9,0.52075,0.07474,-0.67169
26.9403,0.56975,0.05237,-0.73241
26.983,0.59,0.05983,-0.71857
27.0207,0.69759,0.08008,-0.6866
27.0616,0.73061,0.05344,-0.72496
27.1018,0.76044,0.00977,-0.78886
27.1425,0.69333,-0.02965,-0.88687
