time,X_value,Y_value,Z_value
9.8574,6.67192,1.13577,7.6089
9.877,6.60429,1.10704,7.46645
9.8982,6.66833,1.1675,7.24678
9.9184,6.79881,1.27403,7.25217
9.9408,6.71622,1.26027,7.33716
9.9645,6.58932,1.18007,7.34674
9.9797,6.56178,1.19443,7.2408
9.999,6.79762,1.30637,7.04985
10.0202,7.06218,1.35065,7.09355
10.0398,6.73238,1.1244,7.41377
10.0609,6.12724,0.79341,7.60052
10.0808,5.91595,0.72757,7.56042
10.1061,6.23917,0.93526,7.43233
10.1201,6.71323,1.17767,7.35272
10.1413,6.84131,1.23154,7.25636
10.1606,6.72758,1.05019,7.2785
10.1816,6.68689,1.02025,7.321
10.2017,6.70364,1.13039,7.39462
10.2238,6.63002,1.07233,7.38026
10.2489,6.40796,0.94603,7.25217
10.2619,6.26431,0.85506,7.23062
10.2818,6.07457,0.69583,7.4048
10.3026,5.97701,0.51208,7.44969
10.3223,6.00455,0.53961,7.26773
10.3444,6.1841,0.6713,7.07439
10.3644,6.28705,0.70183,6.97983
10.3835,6.24815,0.65753,7.05884
10.4035,6.35948,0.65514,6.87987
10.4252,6.49535,0.67191,6.90561
10.4439,6.56238,0.6306,7.07559
10.4646,6.41335,0.49832,7.51732
10.4872,6.29962,0.299,7.91716
10.5069,6.3098,0.34509,7.92972
10.5324,6.46962,0.5444,7.84055
10.5457,6.47978,0.56415,7.67534
10.5654,6.41934,0.68866,7.43831
10.5858,6.49355,0.9185,7.22882
10.6058,6.69887,1.06754,7.15221
10.6287,6.75871,1.10405,7.25098
10.6528,6.69527,1.03342,7.321
10.6671,6.49295,0.93945,7.32399
10.6868,6.42592,0.82991,7.29167
10.7074,6.48756,0.85027,7.41737
10.7272,6.54683,0.82153,7.54066
10.7487,6.55101,0.71979,7.49757
10.7681,6.56598,0.66771,7.38445
10.7918,6.56837,0.60606,7.20908
10.8083,6.61087,0.73654,7.20668
10.8296,6.61147,0.78741,7.21446
10.8486,6.48817,0.77963,7.14203
10.8701,6.35349,0.84607,6.94571
10.89,6.51511,0.9987,6.9487
10.9113,6.69167,1.05377,7.0732
